UTM,BID,OFFER,LTP,LTV
2020-09-05 17:32:35.109000,380.77,382.77,,1
2020-09-05 17:32:35.357000,380.76,382.76,,1
2020-09-05 17:32:36.023000,380.78,382.78,,1
2020-09-05 17:32:37.023000,380.77,382.77,,1
2020-09-05 17:32:37.273000,380.76,382.76,,1
2020-09-05 17:32:37.609000,380.77,382.77,,1
2020-09-05 17:32:38.089000,380.75,382.75,,1
2020-09-05 17:32:38.337000,380.77,382.77,,1
2020-09-05 17:32:38.586000,380.76,382.76,,1
2020-09-05 17:32:39.088000,380.77,382.77,,1
2020-09-05 17:32:39.337000,380.74,382.74,,1
2020-09-05 17:32:39.839000,380.62,382.62,,1
2020-09-05 17:32:40.088000,380.68,382.68,,1
2020-09-05 17:32:40.339000,380.69,382.69,,1
2020-09-05 17:32:40.589000,380.63,382.63,,1
2020-09-05 17:32:40.838000,380.65,382.65,,1
2020-09-05 17:32:41.089000,380.67,382.67,,1
2020-09-05 17:32:41.337000,380.71,382.71,,1
2020-09-05 17:32:41.588000,380.84,382.84,,1
2020-09-05 17:32:42.090000,380.83,382.83,,1
2020-09-05 17:32:42.339000,380.82,382.82,,1
2020-09-05 17:32:42.587000,380.80,382.80,,1
2020-09-05 17:32:42.838000,380.78,382.78,,1
2020-09-05 17:32:43.338000,380.79,382.79,,1
2020-09-05 17:32:43.587000,380.77,382.77,,1
2020-09-05 17:32:43.836000,380.79,382.79,,1
2020-09-05 17:32:44.216000,380.78,382.78,,1
2020-09-05 17:32:44.465000,380.75,382.75,,1
2020-09-05 17:32:44.713000,380.76,382.76,,1
2020-09-05 17:32:44.965000,380.75,382.75,,1
2020-09-05 17:32:45.465000,380.74,382.74,,1
2020-09-05 17:32:45.964000,380.73,382.73,,1
2020-09-05 17:32:46.217000,380.74,382.74,,1
2020-09-05 17:32:46.466000,380.76,382.76,,1
2020-09-05 17:32:46.966000,380.77,382.77,,1
2020-09-05 17:32:47.216000,380.86,382.86,,1
2020-09-05 17:32:47.465000,380.87,382.87,,1
2020-09-05 17:32:47.965000,380.88,382.88,,1
2020-09-05 17:32:48.567000,380.87,382.87,,1
2020-09-05 17:32:49.067000,380.88,382.88,,1
2020-09-05 17:32:49.316000,380.87,382.87,,1
2020-09-05 17:32:50.201000,380.83,382.83,,1
2020-09-05 17:32:50.949000,380.82,382.82,,1
2020-09-05 17:32:51.202000,380.81,382.81,,1
2020-09-05 17:32:51.822000,380.85,382.85,,1
2020-09-05 17:32:52.184000,380.84,382.84,,1
2020-09-05 17:32:52.434000,380.83,382.83,,1
2020-09-05 17:32:52.681000,380.82,382.82,,1
2020-09-05 17:32:52.932000,380.80,382.80,,1
2020-09-05 17:32:53.184000,380.81,382.81,,1
2020-09-05 17:32:53.683000,380.84,382.84,,1
2020-09-05 17:32:53.931000,380.81,382.81,,1
2020-09-05 17:32:54.184000,380.80,382.80,,1
2020-09-05 17:32:54.432000,380.84,382.84,,1
2020-09-05 17:32:54.975000,380.85,382.85,,1
2020-09-05 17:32:55.805000,380.83,382.83,,1
2020-09-05 17:32:56.371000,380.90,382.90,,1
2020-09-05 17:32:56.619000,380.89,382.89,,1
2020-09-05 17:32:57.121000,380.90,382.90,,1
2020-09-05 17:32:57.368000,380.92,382.92,,1
2020-09-05 17:32:57.712000,380.93,382.93,,1
2020-09-05 17:32:59.722000,380.97,382.97,,1
2020-09-05 17:32:59.968000,380.96,382.96,,1
2020-09-05 17:33:01.427000,380.94,382.94,,1
2020-09-05 17:33:01.674000,380.92,382.92,,1
